n	(phi^n-1 - phi^n)	(phi*phi^n-1)
1	0.381966	0.618034
2	0.236068	0.381966
3	0.145898	0.236068
4	0.090170	0.145898
5	0.055728	0.090170
6	0.034442	0.055728
7	0.021286	0.034442
8	0.013156	0.021286
9	0.008131	0.013156
10	0.005025	0.008131
11	0.003106	0.005025
12	0.001919	0.003106
13	0.001186	0.001919
14	0.000733	0.001186
15	0.000453	0.000733
16	0.000280	0.000453
17	0.000173	0.000280
18	0.000107	0.000173
19	0.000066	0.000107
20	0.000041	0.000066
